export_url,redirect_status,destination,http_status,canonical,meta_robots,x_robots_tag,in_current_sitemap,clicks_from_home
https://teamtoner.co.nz/listings/2828-state-highway-1-sanson,308,https://www.teamtoner.co.nz/listings/2828-state-highway-1-sanson,200,https://www.teamtoner.co.nz/listings/2828-state-highway-1-sanson,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/3-sutherland-crescent-westbrook,308,https://www.teamtoner.co.nz/listings/3-sutherland-crescent-westbrook,200,https://www.teamtoner.co.nz/listings/3-sutherland-crescent-westbrook,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/30-monarch-drive-ashhurst,308,https://www.teamtoner.co.nz/listings/30-monarch-drive-ashhurst,200,https://www.teamtoner.co.nz/listings/30-monarch-drive-ashhurst,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/33-ruahine-street-roslyn,308,https://www.teamtoner.co.nz/listings/33-ruahine-street-roslyn,200,https://www.teamtoner.co.nz/listings/33-ruahine-street-roslyn,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/34-richmond-avenue-takaro,308,https://www.teamtoner.co.nz/listings/34-richmond-avenue-takaro,200,https://www.teamtoner.co.nz/listings/34-richmond-avenue-takaro,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/36-church-street-awapuni,308,https://www.teamtoner.co.nz/listings/36-church-street-awapuni,200,https://www.teamtoner.co.nz/listings/36-church-street-awapuni,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/36-gloucester-street-takaro,308,https://www.teamtoner.co.nz/listings/36-gloucester-street-takaro,200,https://www.teamtoner.co.nz/listings/36-gloucester-street-takaro,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/371-tutaki-road-bunnythorpe,308,https://www.teamtoner.co.nz/listings/371-tutaki-road-bunnythorpe,200,https://www.teamtoner.co.nz/listings/371-tutaki-road-bunnythorpe,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/37a-stafford-street-shannon,308,https://www.teamtoner.co.nz/listings/37a-stafford-street-shannon,200,https://www.teamtoner.co.nz/listings/37a-stafford-street-shannon,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/38-stillwater-place-westbrook,308,https://www.teamtoner.co.nz/listings/38-stillwater-place-westbrook,200,https://www.teamtoner.co.nz/listings/38-stillwater-place-westbrook,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/39-gloucester-street-takaro,308,https://www.teamtoner.co.nz/listings/39-gloucester-street-takaro,200,https://www.teamtoner.co.nz/listings/39-gloucester-street-takaro,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/39-grove-road-ashhurst,308,https://www.teamtoner.co.nz/listings/39-grove-road-ashhurst,200,https://www.teamtoner.co.nz/listings/39-grove-road-ashhurst,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/3b-duff-crescent-highbury,308,https://www.teamtoner.co.nz/listings/3b-duff-crescent-highbury,200,https://www.teamtoner.co.nz/listings/3b-duff-crescent-highbury,"index, follow | index, follow, max-image-preview:large",,True,2
